"well" "hyvin"
"everyone" "jokainen"
"got" "saanut"
"up" "ylös"
"and" "ja"
"going" "menossa"
"this" "tämä"
"morning" "aamu"
"it's" "se on"
"still" "vielä"
"raining" "sataa"
"but" "mutta"
"that's" "se on"
"okay" "ok"
"with" "kanssa"
"me" "minulle"
"sort" "lajitella"
"of" "-sta/-stä"
"suits" "puvut"
"my" "minun"
"mood" "mieliala"
"i" "minä"
"could" "osata"
"easily" "helposti"
"have" "on"
"stayed" "pysyi"
"home" "koti"
"in" "sisällä"
"bed" "sänky"
"book" "kirja"
"the" "se, se (määräinen artikkeli)"
"cats" "kissat"
"has" "on"
"been" "ollut"
"a" "yksi"
"lot" "paljon"
"rain" "sade"
"though" "vaikka"
"people" "ihmiset"
"wet" "märkä"
"basements" "kellarihuoneet"
"there" "tuolla"
"are" "ovat"
"lakes" "järvet"
"where" "missä"
"should" "pitäisi"
"be" "olla"
"golf" "golf / lyödä golfpalloa"
"courses" "kurssit"
"fields" "pellot"
"everything" "kaikki"
"is" "on"
"green" "vihreä"
"it" "sitä"
"supposed" "oletettu"
"to" "mennä"
"26" "26"
"degrees" "tutkinnot"
"by" "kautta"
"friday" "perjantai"
"so" "niin"
"we'll" "me tulemme"
"dealing" "käsitellä"
"mosquitos" "hyttyset"
"next" "seuraava"
"week" "viikko"
"heard" "kuullut"
"winnipeg" "winnipeg"
"described" "kuvaillut"
"as" "kuin"
"an" "yksi"
"old" "vanha"
"testament" "testamentti"
"city" "kaupunki"
"on" "päälle"
"radio" "radio"
"one" "yksi"
"last" "viimeinen"
"rings" "sormukset"
"true" "totta"
"floods" "tulvat, äkilliset suuret määrät"
"etc" "jne"
"four" "neljä"
"-" "-"
"year" "vuosi"
"never" "koskaan"
"stops" "pysäyttäminen"
"talking" "puhumassa"
"she'll" "hän tulee olemaan"
"say" "sanoa"
"mom" "äiti"
"when" "kun"
"yes" "kyllä / joo"
"oh" "oh"
"yeah" "joo"
"do" "tehdä"
"lady" "nainen"
"hide" "piilottaa / piiloutua"
"anything" "mitään"
"hear" "kuulla"
"her" "hänet"
"own" "oma"
"voice" "ääni"
"very" "erittäin"
"exhausting" "uuvuttava"
"now" "nyt"
"remember" "muistaa"
"why" "miksi"
"go" "mennä"
"work" "työskennellä"
"sigh" "huokaus"
"actually" "itse asiassa"
"not" "ei"
"yet" "kuitenkin"
"bought" "ostettu"
"15" "viisitoista"
"tickets" "liput"
"game" "peli"
"for" "jollekin"
"birthday" "syntymäpäivä"
"tonight" "tänä iltana"
"they" "ne"
"cancel" "peruuttaa"
"baseball" "baseball"
"games" "pelit"
"because" "koska"
"although" "vaikka"
"ballpark" "aivottomuus"
"beautiful" "kaunis"
"ain't" "en ole"
"we" "me"
"used" "käytetty"
"lived" "elää"
"toronto" "Toronto"
"really" "todella"
"like" "kuten/samoin"
"taking" "ottaminen"
"kids" "lapset"
"don't" "en"
"know" "tiedän"
"what" "mikä"
"blue" "sininen"
"cost" "kustannus"
"sure" "varma"
"cheaper" "halvempi"
