Facial expression: Disbelief, resentful
- Body language: Protective posture, squared shoulders

Line 2, "Close your eyes and I'll kiss you, 'cause with the birds I'll share (lonely view)."
- Facial expression: Joy, ecstasy
- Body language: Moving rhythmically, taking up space

Line 3, "With the birds I'll share this lonely viewin'"
- Facial expression: Longing, sorrowful
- Body language: Arm swinging, long strides

Line 4, "Push me up against the wall, (you) Young Kentucky girl in a push-up bra."
- Facial expression: Shock, passion
- Body language: Protective posture, squared shoulders

Line 5, "Fallin' all over myself to lick your heart and taste your health ('cause)"
- Facial expression: Shock, disbelief
- Body language: Posture, hunching shoulders

Line 6, "With the birds I'll share this lonely view"
- Facial expression: Longing, sorrowful
- Body language: Protective posture, squared shoulders

Line 7, "Blood loss in a bathroom stall, (with) a southern girl with a scarlet drawl (way to speak)."
- Facial expression: Resentful, passion 
- Body language: Dragging feet, hunching shoulders

Line 8, "I wave goodbye to ma and pa 'cause with the birds I'll share (this lonely view)"
- Facial expression: Joy, ecstasy
- Body language: Moving rhythmically, taking up space

Line 9, "(I'm) soft spoken with a broken jaw, (but I still) step outside, but not to brawl."
- Facial expression: Resolve, determination
- Body language: Swaying, bending

Line 10, "And autumn's sweet, we call it fall."
- Facial expression: Joy, ecstasy
- Body language: Prolonged stares, taking up space

Line 11, "I'll make it to the moon if I have to crawl (and)"
- Facial expression: Determination
- Body language: Prolonged stares, hunching shoulders
