Facial Expressions: Disbelief, Resentful
-Body Language: Posture, Hunching shoulders

Line 2, "Close your eyes and I'll kiss you, 'cause with the birds I'll share (lonely view)."
-Facial Expressions: Joy, Ecstasy
-Body Language: Moving rhythmically, Taking up space

Line 3, "With the birds I'll share this lonely viewin'"
-Facial Expressions: Longing, Sorrowful
-Body Language: Arm swinging, Long strides

Line 4, "Push me up against the wall, (you) Young Kentucky girl in a push-up bra."
-Facial Expressions: Shock, Passion
-Body Language: Protective Posture, Squared Shoulders

Line 5, "Fallin' all over myself to lick your heart and taste your health ('cause)"
-Facial Expressions: Resolve, Determination
-Body Language: Prolonged stares, Hunching shoulders

Line 6, "With the birds I'll share this lonely view"
-Facial Expressions: Longing, Sorrowful
-Body Language: Arm swinging, Long strides

Line 7, "Blood loss in a bathroom stall, (with) a southern girl with a scarlet drawl (way to speak)."
-Facial Expressions: Shock, Disbelief
-Body Language: Moving rhythmically, Taking up space

Line 8, "I wave goodbye to ma and pa 'cause with the birds I'll share (this lonely view)"
-Facial Expressions: Resolve, Determination
-Body Language: Protected Posture, Squared Shoulders

Line 9, "(I'm) soft spoken with a broken jaw, (but I still) step outside, but not to brawl."
-Facial Expressions: Resentful, Passion
-Body Language: Dragging feet, Hunching shoulders

Line 10, "And autumn's sweet, we call it fall."
-Facial Expressions: Joy, Ecstasy
-Body Language: Swaying, Bending

Line 11, "I'll make it to the moon if I have to crawl (and)"
-Facial Expressions: Resolve, Determination
-Body Language: Prolonged stares, Taking up space
