 Facial expression: Frowning, Pursed lips
- Body language: Defensive posture, Crossing arms

Line 2, "Close your eyes and I'll kiss you, 'cause with the birds I'll share (lonely view)."
- Facial expression: Passion, Joy, Smiling
- Body language: Reaching forward, Relaxed posture

Line 3, "With the birds I'll share this lonely viewin'"
- Facial expression: Longing, Contemplative
- Body language: Leaning in, Slumped

Line 4, "Push me up against the wall, (you) Young Kentucky girl in a push-up bra."
- Facial expression: Intense staring, Bruised/painful
- Body language: Defensive posture, Crossing arms

Line 5, "Fallin' all over myself to lick your heart and taste your health ('cause)"
- Facial expression: Resentful, Sorrowful
- Body language: Protective posture, Squared shoulders

Line 6, "With the birds I'll share this lonely view"
- Facial expression: Desperation, Determination
- Body language: Taking up space, Posture

Line 7, "Blood loss in a bathroom stall, (with) a southern girl with a scarlet drawl (way to speak)."
- Facial expression: Serious, Resolved
- Body language: Moving rhythmically, Arm swinging

Line 8, "I wave goodbye to ma and pa 'cause with the birds I'll share (this lonely view)"
- Facial expression: Wistful, Sad
- Body language: Hunching shoulders, Dragging feet

Line 9, "(I'm) soft spoken with a broken jaw, (but I still) step outside, but not to brawl."
- Facial expression: Determined, Longing
- Body language: Long strides, Prolonged stares

Line 10, "And autumn's sweet, we call it fall."
- Facial expression: Ecstasy, Joy
- Body language: Crouching, Defensive posture

Line 11, "I'll make it to the moon if I have to crawl (and)"
- Facial expression: Disbelief, Shock
- Body language: Looking up, Longing posture
